Augustana Faculty,AUCHE,AUCHE410B,Senior Mentorship Experience
Augustana Faculty,AUCHE,AUCHE450,Enzymes and Enzyme Mechanisms
Augustana Faculty,AUCHE,AUCHE490,Advanced Project I
Augustana Faculty,AUCHE,AUCHE492,Advanced Project II
Augustana Faculty,AUCHE,AUCHE497,Directed Reading III
Augustana Faculty,AUCLA,AUCLA100,Greek Civilization
Augustana Faculty,AUCLA,AUCLA102,Greek and Roman Mythology
Augustana Faculty,AUCLA,AUCLA294,Selected Topics in Classical Studies Tour
Augustana Faculty,AUCLA,AUCLA301,Directed Reading I
Augustana Faculty,AUCRI,AUCRI160,Introduction to Crime, Correction, and Community
Augustana Faculty,AUCRI,AUCRI200,Young Offenders and the Law
Augustana Faculty,AUCRI,AUCRI222,Canadian Social Issues
Augustana Faculty,AUCRI,AUCRI224,Studies in Deviant Behaviour
Augustana Faculty,AUCRI,AUCRI225,Criminology: A Canadian Perspective
Augustana Faculty,AUCRI,AUCRI327,Crimes of the Powerful
Augustana Faculty,AUCRI,AUCRI353,Law, Politics, and the Judicial Process
Augustana Faculty,AUCRI,AUCRI488,Law and Forensic Psychology
Augustana Faculty,AUCSC,AUCSC111,Introduction to Computational Thinking and Problem Solving
Augustana Faculty,AUCSC,AUCSC112,Data Structures and Algorithms
Augustana Faculty,AUCSC,AUCSC204,COMPUTING TECH MODERN SOCIETY
Augustana Faculty,AUCSC,AUCSC218,WEB DESIGN, DEVELOP & SCRIPTIN
Augustana Faculty,AUCSC,AUCSC220,Software Engineering I
Augustana Faculty,AUCSC,AUCSC250,Computer Organization and Architecture I
Augustana Faculty,AUCSC,AUCSC310,Algorithm Design and Analysis
Augustana Faculty,AUCSC,AUCSC320,Software Engineering II
Augustana Faculty,AUCSC,AUCSC330,Database Management Systems I
Augustana Faculty,AUCSC,AUCSC340,Numerical Methods
Augustana Faculty,AUCSC,AUCSC350,Computer Organization and Architecture II
Augustana Faculty,AUCSC,AUCSC355,Networks and Security
Augustana Faculty,AUCSC,AUCSC370,Programming Languages
Augustana Faculty,AUCSC,AUCSC380,Operating Systems Concepts
Augustana Faculty,AUCSC,AUCSC395,Directed Study I
Augustana Faculty,AUCSC,AUCSC401,Professional Practicum I
Augustana Faculty,AUCSC,AUCSC402,Professional Practicum II
Augustana Faculty,AUCSC,AUCSC415,Automata, Algorithms and Complexity
Augustana Faculty,AUCSC,AUCSC450,Parallel and Distributed Computing
Augustana Faculty,AUCSC,AUCSC460,Artificial Intelligence
Augustana Faculty,AUCSC,AUCSC490,Social and Ethical Issues for Computing Professionals
Augustana Faculty,AUCSC,AUCSC495,Directed Study II
